,A-F-F,L-F-F,I-Y-F,Y-T-F,Total of All 4 Types of 3-mers,label
s1263.structure.final,12.15953785,9.177141976,2.69004536,20.98964504,45.01637023,1
s1443.structure.final,40.53701863,9.715830259,1.927704069,4.974872211,57.15542517,1
s1456.structure.final,3.779307113,49.83591312,2.84189445,2.246446412,58.70356109,1
s1571.structure.final,28.38282392,12.37737338,2.609435528,9.986057738,53.35569056,1
s1385.structure.final,14.72341846,20.51097159,2.88319659,14.51700628,52.63459292,1
s1674.structure.final,17.36590255,28.21057672,1.554507387,8.301462016,55.43244867,1
s1491.structure.final,6.656050464,19.18074635,7.001187165,15.27279455,48.11077853,1
s1528.structure.final,4.736396955,20.17197632,4.271215111,20.24245842,49.4220468,1
s397.structure.final,17.7223762,10.90285849,2.880651782,8.815153977,40.32104045,1
s934.structure.final,14.63750749,11.42861116,1.38974208,4.704216106,32.16007683,1
s1304.structure.final,16.51992562,17.44583688,1.019817842,9.102601587,44.08818193,1
s1169.structure.final,12.35826382,22.53781988,0.690654602,9.389226637,44.97596494,1
s680.structure.final,14.59896134,20.39815349,3.375649163,11.77149452,50.14425851,1
s1231.structure.final,13.50463222,14.34006699,2.01203578,17.6441313,47.50086629,1
s826.structure.final,22.62505109,12.0242014,1.539493546,10.28870828,46.47745432,1
s675.structure.final,14.62859685,14.33246352,3.612720349,15.77670075,48.35048147,1
s1427.structure.final,17.73169836,11.75132579,2.612264886,4.763162812,36.85845184,1
s1342.structure.final,8.386798787,5.672345067,0.817720644,10.47651207,25.35337657,1
s676.structure.final,12.76784745,17.80451454,4.127638994,9.621640142,44.32164113,1
s621.structure.final,12.21652125,26.48034742,2.266726566,9.31217932,50.27577456,1
s673.structure.final,14.72970437,12.04221045,3.021584734,10.52394752,40.31744708,1
s1280.structure.final,11.75371722,7.198972695,0.954041633,23.92268181,43.82941335,1
s750.structure.final,16.50047067,12.96966989,3.692542719,8.336590775,41.49927406,1
s1135.structure.final,18.87836551,17.33272518,2.5316484,10.4706903,49.21342939,1
s626.structure.final,14.67562601,13.8458868,7.752437439,13.13127747,49.40522772,1
s1041.structure.final,18.65227579,12.82695506,2.401556556,14.24131504,48.12210244,1
s617.structure.final,15.95775458,17.68416623,3.514440616,11.79163583,48.94799725,1
s778.structure.final,11.09071256,10.86126998,1.68406078,6.275546789,29.9115901,1
s646.structure.final,8.529453117,10.34424203,2.096164275,6.750452373,27.7203118,1
s1226.structure.final,12.96248254,14.87553993,1.643037197,14.79554996,44.27660964,1
s965.structure.final,12.0605179,16.70988918,1.895251584,9.920764034,40.58642271,1
s26.structure.final,9.520178856,12.21598768,15.33285946,7.934408957,45.00343495,1
s1409.structure.final,8.687775773,17.75462568,3.419742327,11.78512225,41.64726603,1
s1520.structure.final,8.906448867,25.92022609,2.910994508,9.373172085,47.11084155,1
s1573.structure.final,18.4305553,9.921619977,1.922800288,10.71537908,40.99035465,1
s964.structure.final,13.24427185,12.54519761,0.911981415,7.675899335,34.37735021,1
s1209.structure.final,11.20948139,11.50842485,1.290271582,12.51646075,36.52463858,1
s657.structure.final,15.55455878,15.41597767,3.305862584,12.62360164,46.90000067,1
s732.structure.final,18.36520066,14.68639905,2.030439361,4.662801789,39.74484086,1
s1112.structure.final,16.89482129,15.52259265,1.750184374,12.77822224,46.94582055,1
s1608.structure.final,18.75826948,9.439661606,3.770880821,12.78641162,44.75522353,1
s494.structure.final,8.467863902,13.21652681,1.604515147,22.98073304,46.2696389,1
s1570.structure.final,21.29373143,9.172802026,2.175169361,12.10683413,44.74853694,1
s1641.structure.final,10.81565433,11.64437814,4.659797489,12.0150101,39.13484006,1
